"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B01003_001E","Estimate!!Total"
"B01003_001EA","Annotation of Estimate!!Total"
"B01003_001M","Margin of Error!!Total"
"B01003_001MA","Annotation of Margin of Error!!Total"
